Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,A.J. Minter (43677285),A.J. Minter,43677285,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.20
RP,Carlos Duran (43677286),Carlos Duran,43677286,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Jake Cousins (43677287),Jake Cousins,43677287,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Anderson Severino (43677288),Anderson Severino,43677288,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Ronan Kopp (43677289),Ronan Kopp,43677289,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Adbert Alzolay (43677290),Adbert Alzolay,43677290,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Dylan Ross (43677291),Dylan Ross,43677291,CPT,6000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
OF,A.J. Ewing (43677105),A.J. Ewing,43677105,UTIL,5800,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.43
1B,Jared Young (43677214),Jared Young,43677214,CPT,5700,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.12
OF,Luis Robert Jr. (43677106),Luis Robert Jr.,43677106,UTIL,5600,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.15
C,Francisco Alvarez (43677107),Francisco Alvarez,43677107,UTIL,5400,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.91
OF,Tyrone Taylor (43677215),Tyrone Taylor,43677215,CPT,5400,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.93
1B/3B,Mark Vientos (43677120),Mark Vientos,43677120,UTIL,5200,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.41
2B/SS,Miguel Rojas (43677216),Miguel Rojas,43677216,CPT,5100,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
2B,Marcus Semien (43677108),Marcus Semien,43677108,UTIL,5000,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.77
OF,Alex Call (43677109),Alex Call,43677109,UTIL,4800,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
C,Luis Torrens (43677217),Luis Torrens,43677217,CPT,4800,LAD@NYM 07/24/2026 07:10PM ET,NYM,4.16
2B/3B,Jorge Polanco (43677110),Jorge Polanco,43677110,UTIL,4600,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.86
C,Eliezer Alfonzo (43677218),Eliezer Alfonzo,43677218,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.5
OF,Ryan Ward (43677223),Ryan Ward,43677223,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.75
OF,MJ Melendez (43677224),MJ Melendez,43677224,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.68
2B/OF,Tyler Fitzgerald (43677225),Tyler Fitzgerald,43677225,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
OF,Nick Morabito (43677226),Nick Morabito,43677226,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,NYM,0.4
