Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Will Vest (43669051),Will Vest,43669051,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,2.44
RP,Alex Lange (43669052),Alex Lange,43669052,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.05
RP,Burch Smith (43669053),Burch Smith,43669053,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,3.94
RP,Kenley Jansen (43669054),Kenley Jansen,43669054,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,2.79
RP,Drew Sommers (43669055),Drew Sommers,43669055,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,1.84
RP,Enmanuel De Jesus (43669056),Enmanuel De Jesus,43669056,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,4.06
RP,John Schreiber (43669057),John Schreiber,43669057,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.01
RP,Kyle Finnegan (43669058),Kyle Finnegan,43669058,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,2.69
SP,Steven Zobac (43669059),Steven Zobac,43669059,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Beau Brieske (43669060),Beau Brieske,43669060,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,1.9
SP,Jake Miller (43669061),Jake Miller,43669061,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Aaron Sanchez (43669062),Aaron Sanchez,43669062,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,James McArthur (43669063),James McArthur,43669063,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Matt Strahm (43669064),Matt Strahm,43669064,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,1.57
RP,Ricky Vanasco (43669065),Ricky Vanasco,43669065,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,-2.35
RP,Bailey Horn (43669066),Bailey Horn,43669066,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Brant Hurter (43669067),Brant Hurter,43669067,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,3.63
RP,Eli Morgan (43669068),Eli Morgan,43669068,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.03
RP,Carlos Estevez (43669069),Carlos Estevez,43669069,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,-14.85
RP,Connor Seabold (43669070),Connor Seabold,43669070,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.08
RP,Jacob Waguespack (43669071),Jacob Waguespack,43669071,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,3.68
RP,Brenan Hanifee (43669072),Brenan Hanifee,43669072,CPT,6000,KC@DET 07/23/2026 06:40PM ET,DET,1.30
RP,Jose Cuas (43669073),Jose Cuas,43669073,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,4.45
RP,Steven Cruz (43669074),Steven Cruz,43669074,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,3.26
RP,Easton McGee (43669075),Easton McGee,43669075,CPT,6000,KC@DET 07/23/2026 06:40PM ET,KC,2.65
2B,Jonathan India (43668907),Jonathan India,43668907,UTIL,5800,KC@DET 07/23/2026 06:40PM ET,KC,5.41
2B,Hao-Yu Lee (43669000),Hao-Yu Lee,43669000,CPT,5700,KC@DET 07/23/2026 06:40PM ET,DET,4.5
3B,Nick Loftin (43668895),Nick Loftin,43668895,UTIL,5600,KC@DET 07/23/2026 06:40PM ET,KC,5.91
OF,Matt Vierling (43668896),Matt Vierling,43668896,UTIL,5400,KC@DET 07/23/2026 06:40PM ET,DET,4.56
C,Jake Rogers (43669001),Jake Rogers,43669001,CPT,5400,KC@DET 07/23/2026 06:40PM ET,DET,4.23
