Name,MLBAM_ID,Team,G,GS,IP,TBF,SO,K/9
Camilo Doval,666808,Pittsburgh Pirates,64,0,58.6667,266,62,9.5114
Kyle Finnegan,640448,Detroit Tigers,63,0,60.6667,270,47,6.9725
Mason Black,696131,Kansas City Royals,17,0,31.3333,142,19,5.4574
Ethan Pecko,814490,Houston Astros,7,5,31.3333,130,21,6.0319
Janson Junk,676083,Miami Marlins,25,24,119.0000,505,84,6.3529
Logan Webb,657277,San Francisco Giants,27,27,160.6667,668,134,7.5062
Graham Ashcraft,668933,Cincinnati Reds,33,0,33.3333,143,38,10.2600
Joey Gerber,680702,New York Mets,7,0,8.3333,34,8,8.6400
Alex Hoppe,695380,Baltimore Orioles,41,0,41.6667,186,45,9.7200
George Kirby,669923,Seattle Mariners,30,30,174.6667,741,148,7.6260
Jose Cabrera,703615,Arizona Diamondbacks,7,5,27.0000,119,18,6.0000
Jefry Yan,642376,New York Mets,17,0,18.6667,86,25,12.0536
Bubba Chandler,696149,Pittsburgh Pirates,30,29,151.3333,657,138,8.2070
Tanner Bibee,676440,Cleveland Guardians,32,32,182.0000,755,142,7.0220
Grant Wolfram,664991,Baltimore Orioles,59,0,51.6667,223,60,10.4516
Yoendrys Gómez,672782,Minnesota Twins,64,0,66.0000,294,64,8.7273
Shane Bieber,669456,Toronto Blue Jays,11,11,55.6667,242,44,7.1138
Cooper Hjerpe,687309,St. Louis Cardinals,4,0,12.3333,55,15,10.9459
Cade Povich,700249,Baltimore Orioles,8,7,37.0000,160,28,6.8108
Kumar Rocker,677958,Texas Rangers,30,27,148.0000,645,138,8.3919
Daniel Espino,682982,Cleveland Guardians,13,3,14.3333,62,24,15.0698
Trevor Martin,694680,Los Angeles Angels,7,0,14.3333,66,8,5.0233
Colin Rea,607067,Chicago Cubs,33,19,135.0000,581,100,6.6667
Antwone Kelly,699008,Pittsburgh Pirates,7,0,16.3333,71,12,6.6122
Jose Franco,683742,Cincinnati Reds,10,0,20.3333,93,15,6.6393
Ryan Thompson,657044,Arizona Diamondbacks,46,0,40.6667,186,29,6.4180
Franco Aleman,680916,Cleveland Guardians,21,0,22.3333,103,28,11.2836
Blade Tidwell,694918,San Francisco Giants,17,9,56.6667,235,46,7.3059
Jonathan Pintaro,702752,New York Mets,21,0,30.3333,127,30,8.9011
Anthony Banda,607455,Minnesota Twins,39,0,34.3333,156,33,8.6505
Cole Sulser,642121,Tampa Bay Rays,49,2,54.3333,228,53,8.7791
Taylor Rogers,573124,Minnesota Twins,63,0,58.3333,270,53,8.1771
Brayan Bello,678394,Boston Red Sox,25,10,112.3333,488,90,7.2107
Sam Bachman,696147,Los Angeles Angels,43,0,48.0000,210,47,8.8125
Clayton Beeter,690925,Washington Nationals,50,0,48.0000,209,47,8.8125
Danny Coulombe,543056,Boston Red Sox,29,0,22.0000,96,10,4.0909
Jeff Criswell,676105,Colorado Rockies,3,0,4.0000,18,3,6.7500
Jason Foley,671345,San Francisco Giants,22,0,24.0000,109,14,5.2500
Justin Hagenman,663795,New York Mets,2,1,4.0000,16,2,4.5000
Josh Hendrickson,681973,Houston Astros,1,0,2.0000,8,3,13.5000
Brody Hopkins,811315,Tampa Bay Rays,4,0,4.0000,16,6,13.5000
Craig Kimbrel,518886,Kansas City Royals,46,0,46.0000,196,40,7.8261
Stephen Kolek,663568,Kansas City Royals,10,10,54.0000,224,34,5.6667
Doug Nikhazy,680951,Chicago White Sox,1,0,2.0000,9,1,4.5000
Pedro Pagés,686780,St. Louis Cardinals,2,0,2.0000,7,0,0.0000
Jack Ralston,667652,Miami Marlins,15,0,16.0000,69,17,9.5625
Lucas Sims,608371,Chicago White Sox,9,0,10.0000,46,10,9.0000
Myles Straw,664702,Toronto Blue Jays,4,0,4.0000,20,0,0.0000
Craig Yoho,684974,Cleveland Guardians,33,0,38.0000,160,41,9.7105
Kevin Gausman,592332,Chicago Cubs,32,32,177.6667,750,184,9.3208
Anthony Kay,641743,Chicago White Sox,32,30,153.0000,689,125,7.3529
Reynaldo López,625643,Atlanta Braves,26,13,79.3333,346,73,8.2815
Devin Williams,642207,New York Mets,43,0,39.6667,181,52,11.7983
Aaron Nola,605400,Philadelphia Phillies,32,32,174.3333,737,177,9.1377
José Urquidy,664353,Philadelphia Phillies,12,1,33.6667,150,27,7.2178
Walker Buehler,621111,San Diego Padres,31,31,150.0000,633,128,7.6800
Roki Sasaki,808963,Los Angeles Dodgers,24,23,120.3333,516,119,8.9003
Freddy Peralta,642547,Tampa Bay Rays,31,31,163.6667,708,152,8.3585
Emmet Sheehan,686218,Los Angeles Dodgers,23,22,112.3333,472,132,10.5757
Kyle Hart,606996,San Diego Padres,45,4,63.0000,261,57,8.1429
Wilber Dotel,696062,Pittsburgh Pirates,21,2,39.3333,167,39,8.9237
Jack Flaherty,656427,Detroit Tigers,19,19,86.3333,389,102,10.6332
MacKenzie Gore,669022,Texas Rangers,33,33,170.6667,741,174,9.1758
Chris Bassitt,605135,Baltimore Orioles,20,18,102.0000,460,74,6.5294
Drew Rom,680723,Athletics,16,0,15.6667,72,17,9.7660
Justin Slaten,686580,Boston Red Sox,36,0,31.3333,137,39,11.2021
Tim Hill,657612,New York Yankees,67,0,58.6667,241,25,3.8352
Joel Kuhnel,669270,San Francisco Giants,43,0,43.0000,195,26,5.4419
Andrew Abbott,671096,Cincinnati Reds,32,32,166.0000,729,131,7.1024
Jordan Montgomery,656756,Texas Rangers,12,0,23.3333,94,17,6.5571
Cade Winquest,685464,St. Louis Cardinals,9,0,11.6667,48,15,11.5714
Codi Heuer,676051,Cleveland Guardians,8,0,9.6667,46,6,5.5862
Yunior Marte,805074,San Francisco Giants,4,2,19.3333,83,11,5.1207
Sean Manaea,640455,New York Mets,32,18,144.6667,627,141,8.7719
Dustin May,669160,Milwaukee Brewers,30,30,142.6667,608,139,8.7687
JP Sears,676664,San Diego Padres,8,6,32.6667,143,25,6.8878
Domingo Gonzalez,682445,Seattle Mariners,5,0,7.6667,36,5,5.8696
Brett Sullivan,664954,Colorado Rockies,7,0,7.6667,34,1,1.1739
Mitch Bratt,683352,Arizona Diamondbacks,10,10,44.0000,194,30,6.1364
Khristian Curtis,694753,Pittsburgh Pirates,6,0,21.0000,87,13,5.5714
Mike Paredes,702474,Minnesota Twins,9,5,34.3333,154,19,4.9806
Pierce Johnson,572955,Cincinnati Reds,55,0,47.6667,206,41,7.7413
Travis Adams,701519,Minnesota Twins,39,0,57.0000,239,58,9.1579
Beau Brieske,689225,Detroit Tigers,17,0,22.6667,91,21,8.3382
Alex Cook,702047,Tampa Bay Rays,4,0,5.6667,24,5,7.9412
Cam Sanders,676742,Baltimore Orioles,27,0,28.3333,128,37,11.7529
Kai-Wei Teng,678906,Houston Astros,30,10,73.6667,329,73,8.9186
Cionel Pérez,672335,New York Mets,38,2,43.3333,189,42,8.7231
JR Ritchie,702275,Atlanta Braves,16,10,67.6667,300,66,8.7783
Garrett Cleavinger,664076,Tampa Bay Rays,51,0,41.3333,181,54,11.7581
Sam Moll,594580,Cincinnati Reds,65,0,56.3333,257,56,8.9467
Enyel De Los Santos,660853,Houston Astros,66,0,71.3333,301,67,8.4533
Chris Murphy,669684,Chicago White Sox,33,3,33.6667,150,35,9.3564
Ryne Nelson,669194,Arizona Diamondbacks,17,15,86.0000,366,64,6.6977
Paul Sewald,623149,Toronto Blue Jays,61,0,52.3333,215,53,9.1146
Chase Petty,695534,Cincinnati Reds,16,3,31.6667,139,15,4.2632
Cole Ragans,666142,Kansas City Royals,8,8,35.3333,151,45,11.4623
Carson Seymour,693313,San Francisco Giants,23,0,29.6667,134,21,6.3708
Shawn Armstrong,542888,Cleveland Guardians,39,0,33.3333,147,33,8.9100
Cody Laweryson,689520,Minnesota Twins,15,0,16.6667,78,18,9.7200
Connor Prielipp,687570,Minnesota Twins,24,22,125.6667,535,128,9.1671
Yusei Kikuchi,579328,Los Angeles Angels,13,13,62.6667,282,60,8.6170
Brandon Williamson,682227,Cincinnati Reds,11,8,49.6667,215,33,5.9799
Zebby Matthews,805673,Minnesota Twins,23,23,130.3333,545,116,8.0102
Caleb Kilian,668873,Philadelphia Phillies,49,0,47.6667,209,56,10.5734
Braxton Roxby,694820,San Francisco Giants,3,0,3.6667,18,3,7.3636
Bennett Sousa,656986,Houston Astros,33,1,29.3333,134,30,9.2045
Ildemaro Vargas,545121,Arizona Diamondbacks,3,0,3.6667,17,0,0.0000
Ryan Johnson,696270,Los Angeles Angels,21,18,95.0000,410,76,7.2000
Nick Davila,689546,Seattle Mariners,24,0,27.3333,119,13,4.2805
Ryan Borucki,621366,San Francisco Giants,21,0,23.6667,104,15,5.7042
Merrill Kelly,518876,Arizona Diamondbacks,29,29,162.0000,704,113,6.2778
Kyle Backhus,679775,Philadelphia Phillies,21,1,20.0000,94,20,9.0000
Slade Cecconi,677944,Cleveland Guardians,27,21,120.0000,525,99,7.4250
Jordan Romano,605447,Colorado Rockies,37,0,32.6667,147,37,10.1939
David Peterson,656849,Chicago Cubs,31,22,143.3333,644,131,8.2256
Spencer Arrighetti,681293,Toronto Blue Jays,24,19,110.6667,492,106,8.6205
Orion Kerkering,689147,Philadelphia Phillies,62,0,58.0000,268,63,9.7759
Dean Kremer,665152,Minnesota Twins,16,16,83.3333,341,82,8.8560
Luis Gil,661563,New York Yankees,8,4,25.3333,114,17,6.0395
Caleb Thielbar,573204,Chicago Cubs,57,0,48.6667,207,59,10.9110
Victor Vodnik,680767,Miami Marlins,52,0,57.6667,260,43,6.7110
Tatsuya Imai,837227,Houston Astros,22,15,75.6667,335,96,11.4185
Max Lazar,676661,Philadelphia Phillies,7,0,9.0000,38,6,6.0000
Max Rajcic,691008,St. Louis Cardinals,6,0,9.0000,39,8,8.0000
Nick Lodolo,666157,Cincinnati Reds,20,20,103.6667,462,80,6.9453
Connor Brogdon,641401,Cleveland Guardians,16,0,16.0000,70,15,8.4375
Brenan Hanifee,669724,Detroit Tigers,23,2,21.3333,93,10,4.2188
Bobby Miller,676272,Los Angeles Dodgers,2,0,5.3333,24,3,5.0625
Patrick Sandoval,663776,Boston Red Sox,14,13,65.6667,299,68,9.3198
