Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Drew Thorpe (43658898),Drew Thorpe,43658898,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,0
RP,Tyler Schweitzer (43658903),Tyler Schweitzer,43658903,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,3.51
RP,Duncan Davitt (43658914),Duncan Davitt,43658914,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,1.65
C,Kyle Teel (43658919),Kyle Teel,43658919,C,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,6
RP,Tyler Davis (43658927),Tyler Davis,43658927,P,4000,CWS@TEX 07/22/2026 08:05PM ET,CWS,2.84
RP,Steven Okert (43658651),Steven Okert,43658651,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,3.54
RP,Josh Hader (43658665),Josh Hader,43658665,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,4.72
RP,Michael Petersen (43658666),Michael Petersen,43658666,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,3.62
RP,Pete Fairbanks (43658685),Pete Fairbanks,43658685,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,2.51
RP,Bryan Abreu (43658688),Bryan Abreu,43658688,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,2.56
RP,Enyel De Los Santos (43658714),Enyel De Los Santos,43658714,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,2.67
RP,Bennett Sousa (43658716),Bennett Sousa,43658716,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,1.49
RP,Tyler Zuber (43658717),Tyler Zuber,43658717,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,1.97
RP,Anthony Bender (43658732),Anthony Bender,43658732,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,3.48
RP,Calvin Faucher (43658753),Calvin Faucher,43658753,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,2.45
RP,John King (43658758),John King,43658758,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,3.29
RP,Andrew Nardi (43658764),Andrew Nardi,43658764,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,2.85
RP,Ronny Henriquez (43658782),Ronny Henriquez,43658782,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,0
RP,Bryan King (43658821),Bryan King,43658821,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,2.56
RP,Zach Brzykcy (43658830),Zach Brzykcy,43658830,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,2.88
RP,Alimber Santa (43658884),Alimber Santa,43658884,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,4.01
SP,Miguel Ullola (43658885),Miguel Ullola,43658885,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,10.9
RP,Will Kempner (43658900),Will Kempner,43658900,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,4.82
RP,Josh White (43658901),Josh White,43658901,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,-10.1
RP,Cade Gibson (43658909),Cade Gibson,43658909,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,3.09
RP,Logan VanWey (43658915),Logan VanWey,43658915,P,4000,MIA@HOU 07/22/2026 08:10PM ET,HOU,4.5
RP,Josh Ekness (43658926),Josh Ekness,43658926,P,4000,MIA@HOU 07/22/2026 08:10PM ET,MIA,2.63
RP,Kenley Jansen (43658634),Kenley Jansen,43658634,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,2.76
RP,Shelby Miller (43658639),Shelby Miller,43658639,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,0
RP,Caleb Thielbar (43658641),Caleb Thielbar,43658641,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,2.85
RP,Hoby Milner (43658642),Hoby Milner,43658642,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,1.70
RP,Burch Smith (43658643),Burch Smith,43658643,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,3.94
RP,Tyler Beede (43658657),Tyler Beede,43658657,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,0
RP,Tyler Ferguson (43658668),Tyler Ferguson,43658668,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,2.49
RP,Jacob Waguespack (43658669),Jacob Waguespack,43658669,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,3.68
RP,Kyle Finnegan (43658672),Kyle Finnegan,43658672,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,2.67
RP,Hunter Harvey (43658676),Hunter Harvey,43658676,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,1.85
OF,Ian Happ (43658683),Ian Happ,43658683,OF,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,7.86
RP,Enmanuel De Jesus (43658686),Enmanuel De Jesus,43658686,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,4.06
RP,Jacob Webb (43658693),Jacob Webb,43658693,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,3.35
RP,Trent Thornton (43658698),Trent Thornton,43658698,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,2.53
RP,Phil Maton (43658709),Phil Maton,43658709,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,1.72
RP,Tyler Holton (43658719),Tyler Holton,43658719,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,2.63
RP,Brenan Hanifee (43658727),Brenan Hanifee,43658727,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,1.30
RP,Ryan Rolison (43658736),Ryan Rolison,43658736,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,3.78
RP,Will Vest (43658754),Will Vest,43658754,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,2.44
RP,Ricky Vanasco (43658759),Ricky Vanasco,43658759,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,-2.35
RP,Gavin Hollowell (43658772),Gavin Hollowell,43658772,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,3.26
RP,Antoine Kelly (43658791),Antoine Kelly,43658791,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,0
RP,Brant Hurter (43658807),Brant Hurter,43658807,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,3.63
RP,Porter Hodge (43658814),Porter Hodge,43658814,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,0
RP,Jayden Murray (43658818),Jayden Murray,43658818,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,1.04
RP,Beau Brieske (43658820),Beau Brieske,43658820,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,1.9
RP,Luke Little (43658842),Luke Little,43658842,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,1.05
RP,Bailey Horn (43658846),Bailey Horn,43658846,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,0
RP,Daniel Palencia (43658849),Daniel Palencia,43658849,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,3.14
RP,Riley Martin (43658873),Riley Martin,43658873,P,4000,DET@CHC 07/22/2026 08:10PM ET,CHC,3.82
RP,Andre Granillo (43658877),Andre Granillo,43658877,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,-0.78
SP,Jake Miller (43658908),Jake Miller,43658908,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,0
RP,Drew Sommers (43658911),Drew Sommers,43658911,P,4000,DET@CHC 07/22/2026 08:10PM ET,DET,1.86
OF,Brandon Nimmo (43658656),Brandon Nimmo,43658656,OF,3900,CWS@TEX 07/22/2026 08:05PM ET,TEX,7.18
2B,Jose Altuve (43658638),Jose Altuve,43658638,2B,3900,MIA@HOU 07/22/2026 08:10PM ET,HOU,6.99
3B,Isaac Paredes (43658740),Isaac Paredes,43658740,3B,3900,MIA@HOU 07/22/2026 08:10PM ET,HOU,7.26
1B,Kyle Stowers (43658774),Kyle Stowers,43658774,1B,3900,MIA@HOU 07/22/2026 08:10PM ET,MIA,7.39
2B,Chase Meidroth (43658904),Chase Meidroth,43658904,2B,3700,CWS@TEX 07/22/2026 08:05PM ET,CWS,6.57
1B,Christian Walker (43658644),Christian Walker,43658644,1B,3700,MIA@HOU 07/22/2026 08:10PM ET,HOU,7.36
OF,Andrew Benintendi (43658682),Andrew Benintendi,43658682,OF,3600,CWS@TEX 07/22/2026 08:05PM ET,CWS,6.22
1B,Jake Burger (43658718),Jake Burger,43658718,1B,3600,CWS@TEX 07/22/2026 08:05PM ET,TEX,7.08
3B/SS,Ezequiel Duran (43658768),Ezequiel Duran,43658768,3B/SS,3600,CWS@TEX 07/22/2026 08:05PM ET,TEX,7.01
C,Yainer Diaz (43658746),Yainer Diaz,43658746,C,3600,MIA@HOU 07/22/2026 08:10PM ET,HOU,6.17
OF,Kerry Carpenter (43658815),Kerry Carpenter,43658815,OF,3600,DET@CHC 07/22/2026 08:10PM ET,DET,5.40
OF,Jakob Marsee (43658905),Jakob Marsee,43658905,OF,3500,MIA@HOU 07/22/2026 08:10PM ET,MIA,6.41
2B,Nico Hoerner (43658750),Nico Hoerner,43658750,2B,3500,DET@CHC 07/22/2026 08:10PM ET,CHC,6.98
3B,Colt Keith (43658845),Colt Keith,43658845,3B,3500,DET@CHC 07/22/2026 08:10PM ET,DET,5.11
2B,Justin Foscue (43658838),Justin Foscue,43658838,2B,3400,CWS@TEX 07/22/2026 08:05PM ET,TEX,4.92
OF,Heriberto Hernandez (43658778),Heriberto Hernandez,43658778,OF,3400,MIA@HOU 07/22/2026 08:10PM ET,MIA,6.69
C,Carson Kelly (43658664),Carson Kelly,43658664,C,3400,DET@CHC 07/22/2026 08:10PM ET,CHC,6.19
1B,Spencer Torkelson (43658777),Spencer Torkelson,43658777,1B,3400,DET@CHC 07/22/2026 08:10PM ET,DET,6.44
OF,Randal Grichuk (43658640),Randal Grichuk,43658640,OF,3300,CWS@TEX 07/22/2026 08:05PM ET,CWS,4.68
OF,Joc Pederson (43658648),Joc Pederson,43658648,OF,3300,CWS@TEX 07/22/2026 08:05PM ET,TEX,6.31
OF,Michael Conforto (43658673),Michael Conforto,43658673,OF,3300,DET@CHC 07/22/2026 08:10PM ET,CHC,4.94
OF,Matt Vierling (43658711),Matt Vierling,43658711,OF,3300,DET@CHC 07/22/2026 08:10PM ET,DET,4.61
C,Drew Romo (43658837),Drew Romo,43658837,C,3200,CWS@TEX 07/22/2026 08:05PM ET,CWS,4.24
OF,Evan Carter (43658844),Evan Carter,43658844,OF,3200,CWS@TEX 07/22/2026 08:05PM ET,TEX,5.57
OF,Griffin Conine (43658712),Griffin Conine,43658712,OF,3200,MIA@HOU 07/22/2026 08:10PM ET,MIA,6.66
